Date,Title,img_path,Caption,Colours,Style,Subject,Keywords,Category,img_alt,Width,Height
2023-06-13,Ipoh French cafe,230613-ipoh-french-patisserie.jpeg,"A watercolor sketch of Roquette, a corner building with classic architectural features including arched windows, red awnings, and ornate columns. The two-story structure features traditional French-style architecture with shuttered windows on the upper floor. A few small figures are sketched on the sidewalk, and a red vintage car is parked on the street. Trees and foliage frame the right side of the building.","['Beige/cream (building)', 'Terra cotta red (roof and car)', 'Light blue (sky)', 'Green (foliage)', 'Grey (shadows and details)', 'Brown (architectural details)']",Urban sketching/architectural illustration with loose watercolor wash and ink line work,"A corner view of a French-style commercial building labeled 'Roquette', capturing the architectural details and street atmosphere of what appears to be a European or French Quarter setting","['Urban sketch', 'Watercolor', 'Architecture', 'French building', 'Street scene', 'Corner store', 'Roquette', 'Historical building', 'Architectural illustration', 'City sketch', 'Vintage architecture', 'Street view', 'Urban art', 'Building facade', 'Plein air']",Blog,,340.0,255.0
2023-06-11,Ipoh coffee,230611-ipoh_coffee.jpeg,"A loose watercolor and ink sketch showing two figures in conversation at what appears to be a cafe or table setting. One figure is wearing a pink hijab and blue pants, seated, while another figure stands nearby. The sketch has a spontaneous, gestural quality with quick brushstrokes and line work.","['Pink/Rose', 'Blue', 'Grey', 'Black (ink lines)', 'White (paper)', 'Subtle beige/cream tones']","['Urban sketching', 'Gestural drawing', 'Quick observational sketch', 'Loose watercolor', 'Line and wash technique']","A casual social scene captured in a quick observational sketch, showing figures in conversation at what appears to be a cafe or casual meeting space","['urban sketch', 'watercolor', 'cafe scene', 'conversation', 'hijab', 'social scene', 'gestural', 'quick sketch', 'people', 'daily life', 'observational drawing', 'informal portrait']",Blog,,340.0,453.0
2023-06-11,Ipoh shopping,230612-ipoh-shopping.jpeg,"A watercolor sketch depicting a figure in a store or library setting, surrounded by shelves filled with colorful objects. The figure is wearing a light blue tank top and beige shorts with a small bag across their body. The background shows multiple shelves stocked with what appears to be books or products in various colors.","['Light blue', 'Beige', 'Pink', 'Yellow', 'Brown', 'Grey', 'Coral', 'White']","['Urban sketching', 'Loose watercolor', 'Quick sketch', 'Illustrative', 'Casual sketching']","A casual shopping or browsing scene showing a figure standing in an interior space with shelved walls, possibly a bookstore, library, or retail environment","['urban sketch', 'watercolor', 'shopping', 'browsing', 'interior', 'shelves', 'retail', 'casual', 'lifestyle', 'store scene', 'daily life', 'illustration']",Blog,,340.0,453.0
2023-06-10,Ipoh train station,230613-ipoh-train-station.jpeg,"A watercolor sketch of a colonial or Mediterranean-style building with arched walkways and a central dome or cupola. The building features multiple archways forming a colonnade, with terracotta-colored roof tiles and white walls. Small trees and palm trees are dotted around the courtyard area, with some greenery in the foreground. The scene appears to be rendered in a loose, sketchy style with some architectural details defined by ink lines.","['Grey', 'Terracotta brown', 'Olive green', 'White', 'Pale yellow', 'Light blue']","['Urban sketch', 'Architectural illustration', 'Plein air watercolor', 'Loose watercolor technique', 'Line and wash']","['Colonial or Mediterranean architecture', 'Building exterior', 'Courtyard scene', 'Architectural details', 'Landscaped grounds']","['architecture', 'watercolor', 'colonial', 'arches', 'courtyard', 'dome', 'palm trees', 'urban sketch', 'building', 'colonnade', 'terracotta', 'landscape']",Blog,,340.0,255.0
2023-06-09,Petronas towers,230610-petronas.jpeg,"A urban sketch showing the Petronas Towers in Kuala Lumpur, Malaysia, depicted from street level. The sketch includes the iconic twin towers with their distinctive architectural details, the base of the building complex, street level details including small figures of pedestrians, and decorative palm trees. The sketch is executed in a loose, expressive style with watercolor wash effects.","['Grey', 'Light blue', 'Pale brown', 'Green (for vegetation)', 'White (paper)', 'Black (pen lines)']","['Urban sketching', 'Architectural illustration', 'Line and wash technique', 'Quick sketch style', 'Loose gestural drawing']","The Petronas Towers and surrounding KLCC complex in Kuala Lumpur, captured in an architectural sketch showing both the monumentality of the buildings and the human scale of the street level experience","['Urban sketch', 'Architecture', 'Petronas Towers', 'Kuala Lumpur', 'Cityscape', 'Skyscrapers', 'Street scene', 'Watercolor', 'Urban art', 'Malaysia', 'Travel sketch', 'Architectural drawing', 'Urban landscape']",Blog,,340.0,453.0
2023-03-20,Mouse in a hat,230320mouse-in-a-hat.jpg,"A watercolor portrait showing a figure in a grey bucket hat wearing rectangular glasses and a yellow sweater. The figure has shoulder-length black hair and is depicted in a three-quarter view profile against a grey background. The artwork has a loose, sketchy quality with visible brushstrokes.","['Yellow (sweater)', 'Grey (hat and background)', 'Brown/Sepia (skin tones)', 'Black (hair and line work)', 'White (paper showing through)']","['Contemporary watercolor illustration', 'Urban sketching', 'Loose gestural style', 'Mixed media (ink and watercolor)']","A portrait study featuring casual contemporary fashion including a bucket hat, glasses, and yellow sweater. The composition focuses on a relaxed, candid pose.","['watercolor portrait', 'urban sketch', 'contemporary art', 'bucket hat', 'yellow sweater', 'glasses', 'fashion illustration', 'mixed media', 'casual style', 'portrait study', 'gestural drawing']",Blog,,340.0,453.0
2023-03-17,Yellow and blue,230317_yellow_and_blue.jpg,"A loose, expressive watercolor sketch depicting a figure wearing round blue-tinted glasses with one hand raised near their face. The artwork has a spontaneous, gestural quality with fluid purple and yellow washes creating depth and atmosphere.","['Purple/lavender', 'Blue', 'Yellow ochre', 'Grey', 'White (paper)', 'Black (line work)']","['Contemporary sketch', 'Gestural drawing', 'Loose watercolor', 'Urban sketching', 'Quick study']","A casual portrait study featuring distinctive round glasses and an upraised hand, rendered in a loose, impressionistic style that emphasizes movement and emotion over precise detail","['watercolor', 'sketch', 'portrait', 'glasses', 'contemporary', 'purple', 'gestural', 'expressive', 'loose', 'urban sketch', 'quick study', 'modern', 'artistic', 'spontaneous']",Blog,,340.0,453.0
2023-03-17,The Captain,4561_2023_7e4c61a426.jpg,"A watercolor portrait sketch in shades of purple and pink, showing a bearded figure wearing a cap. The artwork features loose, expressive linework combined with soft watercolor washes. The portrait is dated 16/03/23 and appears to be labeled with the number 30.","['Purple', 'Pink', 'White (paper)', 'Black (linework)', 'Magenta undertones']","['Contemporary watercolor', 'Loose sketch style', 'Mixed media', 'Urban sketching', 'Gestural portraiture']","A portrait study featuring a bearded figure wearing what appears to be a flat cap or beret, rendered in monochromatic purple tones with emphasis on facial features and facial hair","['watercolor', 'portrait', 'beard', 'cap', 'purple', 'sketch', 'contemporary', 'monochromatic', 'urban sketch', 'ink and wash', 'facial study', 'masculine', 'headwear']",Blog,,340.0,453.0
2023-02-26,Purple guy,purple_head.jpg,"A watercolor portrait sketch showing a profile view of a person looking upward, wearing a gridded jacket. The subject has a full beard and a contemplative expression. The drawing is dated 10/3/23 and marked with the number 24.","['Purple', 'Lavender', 'White (paper)', 'Grey (line work)', 'Muted violet tones']","['Contemporary sketch', 'Loose watercolor', 'Urban sketching', 'Minimalist portraiture', 'Quick study']","Portrait study of a person shown in profile view, featuring strong facial characteristics including a full beard, wearing casual clothing including a gridded jacket or shirt","['watercolor', 'portrait', 'profile', 'beard', 'sketch', 'purple', 'monochromatic', 'contemporary', 'urban sketch', 'gridded jacket', 'upward gaze', 'male portrait', 'daily sketch', 'minimal', 'contemplative']",Blog,,340.0,453.0
2023-02-26,Uncle E,uncle_e.jpg,"A delicate watercolor and ink portrait sketch showing a contemplative expression on a figure wearing glasses. The drawing features loose, expressive line work and subtle wash techniques creating depth and shadow on the face. The portrait is clipped to what appears to be a white surface with grass visible in the background.","['Pale blue-grey', 'Flesh tones/beige', 'White paper', 'Black ink lines']","['Loose sketching', 'Urban sketching', 'Mixed media', 'Gestural drawing', 'Contemporary portraiture']","A portrait study showing a middle-aged figure wearing rectangular glasses, depicted from a slightly angled perspective. The subject has a serious, thoughtful expression and is wearing what appears to be a collared shirt.","['portrait', 'sketch', 'watercolor', 'ink drawing', 'glasses', 'quick study', 'loose style', 'expressive', 'contemporary art', 'mixed media portrait']",Blog,,340.0,453.0
2023-02-11,Spirit of Tasmania,2302_spirit_of_tasmania.jpg,"A watercolor sketch of the Spirit of Tasmania ferry docked at port, with a small boat in the foreground. The scene depicts a moody, overcast sky with grey clouds and choppy waters. The ferry's distinctive red hull and white superstructure are prominently featured, along with dock infrastructure visible on the left side of the composition.","['Red (ferry hull)', 'Grey (sky and water)', 'White (paper and ferry superstructure)', 'Black (ink lines)', 'Pale blue (water tones)', 'Muted browns (dock structure)']","Urban sketching/architectural illustration with loose watercolor technique, combining pen and wash methods","The Spirit of Tasmania passenger ferry at port, which is a significant vessel that operates between Melbourne, Australia and Devonport, Tasmania","['Maritime art', 'Ferry', 'Nautical', 'Urban sketching', 'Watercolor', 'Ship', 'Harbor scene', 'Tasmania', 'Transportation', 'Marine vessel', 'Dock', 'Port', 'Seascape', 'Travel illustration']",Blog,,340.0,255.0
2023-02-07,Port Arthur,2302_port_arthur.jpg,"A watercolor sketch of a large industrial or institutional building complex set against a natural landscape. The building appears to be historic in nature, with multiple rows of windows and chimneys. It's situated on a green hillside with trees in the background and a pale blue sky above.","['Olive green', 'Pale yellow ochre', 'Light blue', 'Grey', 'Brown', 'Sage green', 'White (paper)', 'Black (details)']","['Architectural sketch', 'Urban sketching', 'Loose watercolor', 'Plein air', 'Quick study']","A historic industrial or institutional building complex, possibly a former mill, factory, or workhouse, rendered in a loose architectural sketch style with watercolor treatment","['Architecture', 'Industrial heritage', 'Watercolor sketch', 'Historic building', 'Factory', 'Mill building', 'Landscape', 'Urban sketch', 'Heritage architecture', 'Victorian industrial', 'Architectural illustration', 'Building study']",Blog,,340.0,255.0
2023-02-06,The Salamanca strip,2302_salamanca_strip.jpg,"A watercolor sketch of a shopping center or marketplace with a row of connected buildings featuring multiple windows and a parking lot in front. Large mature trees frame the left side of the scene, adding natural elements to the urban setting. Market stalls or tents are visible along the building frontage. The scene is captured in a loose, architectural sketch style with a natural color palette.","['Light blue (sky)', 'Beige/tan (buildings)', 'Green (foliage)', 'Brown (tree trunks)', 'Grey (cars and details)', 'White (paper showing through)']","['Urban sketching', 'Architectural illustration', 'Watercolor sketch', 'Loose line drawing', 'Plein air style']","An urban scene featuring a commercial building complex with parking facilities and landscaping, likely a shopping center or marketplace with vendor stalls","['Urban sketch', 'Architecture', 'Watercolor', 'Shopping center', 'Marketplace', 'Trees', 'Parking lot', 'Buildings', 'Street scene', 'Market stalls', 'Urban landscape', 'Commercial building']",Blog,,340.0,255.0
2023-02-06,Waiting for MONA,2302_waiting_for_mona.jpg,"A watercolor urban sketch showing a historic building with classical architecture features, including arched windows and ornate details. The scene includes white market tents on the sidewalk, small figures of people, and a tall modern building in the background. The sketch is held down with binder clips on what appears to be a wooden surface.","['Grey-blue', 'Light brown', 'Pale blue (sky)', 'Green (vegetation)', 'White', 'Beige']","['Urban sketching', 'Architectural illustration', 'Loose watercolor', 'En plein air', 'Quick sketch style']","A classical style building on a city street corner, likely a historic or civic building, with market stalls or temporary structures set up outside. The perspective is from a slight elevation, showing the street corner and surrounding urban context.","['Urban sketch', 'Architecture', 'Watercolor', 'City scene', 'Historic building', 'Street market', 'Classical architecture', 'Downtown', 'Building illustration', 'Cityscape', 'Street scene', 'Urban art']",Blog,,340.0,255.0
2023-02-06,Hobart lolly shop,2302_lolli_shop.jpg,"A watercolor sketch of a small stone cottage or house with a gray roof and chimney. The building has three openings - two windows and a central door - with arched details. The scene includes a small garden with white flowers in the foreground, trees on either side, and a simple fence. There appears to be a sign that reads 'Lollies' in the foreground. The scene is set against a light blue sky with hints of clouds.","['Buff/beige (stone building)', 'Gray (roof and shadows)', 'Green (vegetation and trees)', 'Light blue (sky)', 'White (paper and highlights)', 'Purple/gray (ground and shadows)']","['Urban sketch', 'Architectural illustration', 'Loose watercolor', 'Line and wash technique', 'Plein air style']","A small historic stone cottage or shop building with garden setting, captured in a casual, sketch-like style with architectural details preserved","['cottage', 'architecture', 'watercolor', 'urban sketch', 'stone building', 'garden', 'trees', 'fence', 'historic building', 'streetscape', 'shop front', 'Australian architecture', 'heritage building', 'architectural drawing', 'outdoor scene']",Blog,,340.0,255.0
2023-02-05,Hobart farm gate markets,2302_hobart_markets.jpg,"A watercolor sketch depicting a queue of people outside what appears to be a busy establishment with brick-colored walls. The scene shows multiple figures waiting in line, with a building featuring skylights or ventilation units on the roof in the background. The sketch has a loose, urban feel with quick gestural strokes capturing the crowd's movement.","['Terracotta/brick orange', 'Pale yellow', 'Light grey', 'Soft green', 'Muted blue', 'Light pink', 'White']","['Urban sketching', 'Loose watercolor', 'Quick gestural drawing', 'Architectural illustration', 'En plein air']","An urban scene showing a queue of people waiting outside a building, possibly a popular restaurant, cafe, or venue, captured in a casual, observational style","['urban sketch', 'queue', 'street scene', 'architecture', 'watercolor', 'cityscape', 'building', 'crowd', 'line-up', 'street life', 'observation drawing', 'urban landscape']",Blog,,340.0,243.0
2023-02-02,Hobart harbour,2302_hobart_harbour.jpg,"A watercolor sketch of a harbor scene featuring colorful buildings along a waterfront. The buildings have red roofs and yellow/ochre facades with multiple windows. Several boats are moored in the harbor, including what appears to be a larger vessel labeled 'HORACT'. The scene includes red umbrellas or awnings along the building frontage and various smaller boats in the water. The sky is rendered in muted grey tones, creating a moody atmosphere.","['Grey-blue', 'Yellow ochre', 'Terracotta red', 'White', 'Dark grey', 'Light blue', 'Pink tones']","['Urban sketching', 'Loose watercolor', 'Architectural illustration', 'Quick sketch style', 'En plein air']","A European-style harbor waterfront with traditional buildings and moored boats, likely depicting a coastal town or city port area. The composition emphasizes the relationship between the built environment and the water.","['harbor', 'waterfront', 'boats', 'urban sketch', 'watercolor', 'architecture', 'maritime', 'cityscape', 'coastal', 'nautical', 'buildings', 'dock', 'European', 'waterside', 'port']",Blog,,340.0,255.0
2023-02-01,Hobart fishing boats,2302_hobart_boats.jpg,"A watercolor sketch of several fishing boats moored in calm waters. The scene features three main vessels - a yellow boat, a red-orange boat, and a blue boat in the background. Each boat has a distinctive cabin structure and masts. The water is rendered in muted green-blue tones, creating a peaceful harbor atmosphere.","['Yellow', 'Red-orange', 'Light blue', 'Navy blue', 'Green-grey (water)', 'White', 'Black (line work)']","['Urban sketch', 'Loose watercolor', 'Maritime illustration', 'Quick sketch style', 'Pen and wash technique']","A collection of fishing boats or working vessels in a harbor setting, captured in a loose, sketchy style that emphasizes their basic shapes and colors while maintaining their characteristic features like cabins, masts, and hull shapes.","['fishing boats', 'harbor scene', 'maritime art', 'watercolor sketch', 'nautical', 'boats', 'marine art', 'coastal', 'dock', 'working vessels', 'seascape', 'harbor sketch']",Blog,,340.0,255.0
2023-01-31,Hobart central post office,2301_hobart_gpo.jpg,"A watercolor and ink sketch of a Victorian-style building complex with a prominent clock tower in the center. The buildings feature arched windows and detailed architectural elements, rendered in warm yellow tones with grey shadows. Street lamps are visible in the foreground, and 'The Museum' can be seen labeled on one section of the building. The scene appears to be an urban streetscape with a historic architectural focus.","['Yellow ochre', 'Steel grey', 'Light blue', 'Black', 'White', 'Pale brown', 'Shadow grey']",Urban sketching/Architectural illustration with loose watercolor wash and ink linework,"Historic Victorian architecture, specifically what appears to be a museum building or civic center with distinctive clock tower and street frontage","['Urban sketch', 'Architecture', 'Victorian', 'Clock tower', 'Museum', 'Watercolor', 'Street scene', 'Heritage building', 'Street lamps', 'Building facade', 'Historical architecture', 'City sketch', 'Urban landscape', 'Architectural drawing']",Blog,,340.0,255.0
2023-01-28,Great Ocean something,2301_quick_twelve_apostles.jpg,"A loose watercolor sketch showing several figures standing at what appears to be a viewpoint or overlook with railings. The scene depicts people observing a vista with a cloudy blue sky background. The sketch is done in a quick, gestural style with minimal detail but effective use of light washes.","['Light blue', 'Grey', 'Brown', 'Beige', 'Purple tones', 'White (paper)', 'Black (line work)']","['Urban sketching', 'Plein air', 'Loose watercolor', 'Quick gestural drawing', 'Line and wash technique']","A group of visitors at a scenic viewpoint or observation deck, rendered in a casual sketching style that captures the essence of the moment without focusing on specific details","['Urban sketch', 'Watercolor', 'Landscape', 'Observation deck', 'Viewpoint', 'People watching', 'Tourist spot', 'Quick sketch', 'Travel art', 'Plein air drawing', 'Scenic view', 'Gestural drawing']",Blog,,340.0,255.0
2023-01-27,Ice cream at Fed Square,fed_sq_ice_cream.jpg,"A quick urban sketch of people gathered around what appears to be a food cart or street vendor setup on a paved area. The scene includes umbrellas or awnings over the cart, some folding chairs, and several people standing around. The sketch captures a casual, everyday moment in a public space.","['Light blue', 'Grey', 'Pale yellow', 'Light green', 'Purple (chairs)', 'White (paper)']","['Urban sketching', 'Loose gestural drawing', 'Quick observational sketch', 'Line and wash technique']","A street food vendor or cart scene with customers, including the cart setup, awnings, and people gathering around in what appears to be a public square or plaza","['urban sketch', 'street scene', 'food cart', 'street vendor', 'people watching', 'city life', 'outdoor scene', 'quick sketch', 'watercolor', 'urban life', 'street food', 'plein air', 'observational drawing']",Blog,,340.0,255.0
2023-01-07,Another hot day at Queen Victoria markets,230110-queen-vic-markets-again.jpg,"A watercolor urban sketch depicting a covered walkway or arcade with large planters containing small trees. The scene shows several people walking through the space, with architectural elements including an angled roof structure above. The sketch has a loose, impressionistic quality with quick pen marks defining the forms and watercolor washes adding depth and atmosphere.","['Navy blue', 'Light grey', 'Sage green', 'Pale blue', 'Brown', 'White (paper)']","['Urban sketching', 'Architectural illustration', 'Loose watercolor', 'En plein air', 'Quick gestural sketch']",An urban scene showing a covered walkway with planted trees in large containers and people walking through the space. The architecture appears modern or contemporary with clean lines and a distinctive angular roof structure.,"['urban sketch', 'architecture', 'watercolor', 'street scene', 'planter boxes', 'trees', 'covered walkway', 'public space', 'perspective drawing', 'architectural illustration', 'urban landscape', 'quick sketch', 'streetscape']",Blog,,340.0,235.0
2023-01-06,Quick Melbourne cityscape,230106-victoria-st-melbourne-cityscape.jpg,"A watercolor and ink sketch of an urban street scene showing tall buildings, with a prominent communications tower visible. The scene features lush green trees lining the street, various colored vehicles on the road, and an architectural perspective view looking down the street. The buildings have distinctive features including a clock or timepiece on one facade.","['Green (trees)', 'Grey/Blue (buildings)', 'Black (ink lines)', 'Blue, Red, Yellow (vehicles)', 'White (paper/highlights)']",Urban sketching/Architectural illustration with loose watercolor wash and ink linework,"Downtown cityscape featuring modern architecture, street scene with emphasis on urban greenery and infrastructure","['Urban sketch', 'Cityscape', 'Architecture', 'Watercolor', 'Street scene', 'Urban trees', 'Buildings', 'Communications tower', 'Perspective drawing', 'Modern city', 'Urban planning', 'Street view', 'Mixed media']",Blog,,340.0,441.0
2022-12-27,At Queen St Mall,221227-queen-st-mall.jpg,"A watercolor and ink urban sketch depicting a historic Bank of Adelaide building on a city street corner. The scene shows a yellow-beige heritage building with classical architectural features, surrounded by modern glass skyscrapers in the background. The streetscape includes trees with green foliage, lamp posts, and small figures walking on the sidewalk. The composition captures the contrast between historical and contemporary architecture.","['Beige/cream (building)', 'Olive green (trees)', 'Grey (modern building)', 'Pale blue (sky)', 'Light pink (background building)', 'Black (ink lines)']",Urban sketching/architectural illustration with loose watercolor wash and ink linework,"Historical Bank of Adelaide building in an urban setting, showcasing the juxtaposition of classical and modern architecture in a city environment","['urban sketch', 'architecture', 'heritage building', 'cityscape', 'watercolor', 'Bank of Adelaide', 'street scene', 'historical architecture', 'modern buildings', 'architectural illustration', 'urban landscape', 'perspective drawing', 'street corner', 'classical architecture']",Blog,,340.0,255.0
2022-12-25,Surfers Paradise cityscape,221225-surfers-paradise-cityscape.jpg,"A watercolor and ink sketch of modern city skyscrapers viewed from a high angle, featuring tall glass and steel buildings against a light blue sky. The scene depicts an urban landscape with varying building heights, including two dominant skyscrapers and several smaller commercial buildings in the foreground.","['Light blue (sky)', 'Steel grey', 'Beige/yellow (buildings)', 'White (highlights)', 'Dark grey (shadows)', 'Pale purple (distant buildings)']","['Urban sketching', 'Architectural illustration', 'Contemporary watercolor', 'Line and wash technique', 'Loose realistic style']","Modern urban cityscape focusing on contemporary architecture and skyscrapers, capturing the scale and geometry of a downtown business district with emphasis on vertical architectural elements","['cityscape', 'skyscrapers', 'urban sketch', 'architecture', 'watercolor', 'downtown', 'buildings', 'modern city', 'high-rise', 'urban landscape', 'architectural drawing', 'perspective', 'metropolis']",Blog,,340.0,453.0
2022-12-25,Christmas at the beach,221225-christmas-at-the-beach.jpg,"A watercolor sketch of a beach scene showing several people lounging on the sand. The composition includes a red beach umbrella, people sitting on beach towels, and everyone appears to be looking at their mobile phones. The ocean is depicted with blue waves in the background and there's a cloudy sky above.","['Yellow (sand)', 'Blue (ocean and clothing)', 'Red/Pink (umbrella)', 'White (clouds)', 'Brown/Black (figure outlines)', 'Green (vegetation hints)']","['Quick sketch', 'Urban sketching', 'Loose watercolor', 'Observational art', 'Contemporary illustration']",A social commentary piece showing modern beach behavior where beachgoers are all absorbed in their mobile devices rather than engaging with the natural environment or each other,"['Beach scene', 'Watercolor', 'Social commentary', 'Technology', 'Smartphones', 'Beach umbrella', 'Ocean', 'Summer', 'Modern life', 'Leisure', 'Sketch', 'Plein air', 'Contemporary culture']",Blog,,340.0,255.0
2022-12-24,Lifeguards at surfers,221224-lifeguard-tower.jpg,"A watercolor sketch of a coastal watchtower or lifeguard station with a distinctive yellow and grey structure elevated on stilts. The tower features an Asian-inspired peaked roof and an observation deck. The scene includes a sandy beach, blue water in the background, and green foliage to the left. There appears to be a bench or seating area in the foreground.","['Yellow (tower roof and walls)', 'Grey (structural elements)', 'Blue (water and sky)', 'Green (foliage)', 'Beige/Sand (beach)', 'White (paper/highlights)']","['Urban sketch', 'Architectural illustration', 'Loose watercolor', 'Line and wash technique', 'Quick sketch style']","A coastal observation tower with Asian-influenced architecture, positioned on a beach overlooking a body of water. The structure combines functional design with decorative elements, particularly in its pagoda-style roof.","['watchtower', 'beach', 'coastal', 'architecture', 'pagoda', 'watercolor', 'sketch', 'observation post', 'lifeguard tower', 'oceanfront', 'structural drawing', 'landscape', 'outdoor scene', 'architectural sketch', 'beach architecture']",Blog,,340.0,255.0
2022-12-18,Victoria markets,sunny-vic-gardens.jpg,"A watercolor and ink sketch of what appears to be a market or shopping arcade with arched entrances. The building has multiple sections with peaked roofs, and small figures are shown standing beneath the arches. There are some planters or boxes in the foreground, and the scene is rendered in a loose, spontaneous urban sketching style.","['Light blue (sky)', 'Grey (pavement/ground)', 'Green (vegetation/details)', 'Beige/cream (building)', 'Dark blue/grey (shadows)', 'White (paper/highlights)']","['Urban sketching', 'Architectural illustration', 'Loose watercolor', 'Quick sketch', 'Pen and wash technique']",An architectural view of what appears to be a covered market or shopping arcade with multiple archways and peaked roof sections. The scene includes architectural details and human figures for scale.,"['urban sketch', 'architecture', 'market', 'arcade', 'watercolor', 'pen and wash', 'building', 'arches', 'street scene', 'quick sketch', 'plein air', 'shopping area', 'architectural illustration']",Blog,,340.0,249.0
2022-12-13,At the window,against-the-window.jpg,"A minimalist watercolor illustration of a potted plant with large green leaves sitting beside a stack of books near a window frame. The scene has a calm, domestic atmosphere with simple lines and gentle shadows.","['Light green (plant leaves)', 'Brown (window frame)', 'White (pot and background)', 'Mint green (book)', 'Grey (shadows)', 'Beige (floor/surface)']","['Contemporary illustration', 'Urban sketching', 'Minimalist watercolor', 'Line and wash technique']","A quiet corner still life featuring a houseplant in a white pot alongside some books, positioned next to a window, capturing a peaceful moment of domestic interior design","['houseplant', 'interior sketch', 'windowsill', 'books', 'watercolor', 'minimalist', 'home decor', 'botanical illustration', 'urban sketch', 'indoor plant', 'cozy', 'simple', 'contemporary art']",Blog,,340.0,453.0
2022-12-12,An office still life,office-still-life-12.jpg,"A watercolor sketch of bananas and a green tomato or tomatillo arranged on a simple white plate. The artwork features loose, expressive line work combined with gentle watercolor washes. The bananas show subtle spots and shadows, while the round green fruit has delicate line details showing its structure.","['Yellow', 'Pale green', 'Black', 'White', 'Grey (for shadows)']",Loose watercolor sketch with ink line work; casual still life study combining gestural drawing with watercolor washes,"Still life arrangement of fruit on a plate, featuring bananas and a round green fruit, demonstrating form, shadow, and simple composition","['watercolor', 'still life', 'fruit', 'bananas', 'sketch', 'ink drawing', 'botanical art', 'kitchen art', 'food illustration', 'minimalist', 'study', 'line and wash']",Blog,,340.0,255.0
2022-12-03,A very sunny day in Geelong,geelong_pier.jpg,"A waterfront sketch of a coastal building with distinctive architectural features including domed towers and a central spire. The building sits on a pier or dock extending into water, with a sailboat visible in the background. The scene is rendered in a loose, quick sketch style with minimal watercolor wash.","['Black (ink lines)', 'Light blue (water)', 'White (paper/negative space)', 'Grey (shading)']","['Urban sketch', 'Architectural illustration', 'Line and wash technique', 'Quick gestural drawing']","A waterfront building, possibly a pier building, boathouse, or maritime structure with Victorian or colonial architectural elements including domed towers and a central spire, situated on a dock or pier","['architectural sketch', 'waterfront', 'maritime', 'pier', 'dock', 'towers', 'nautical', 'coastal', 'urban sketching', 'watercolor', 'ink drawing', 'seascape', 'harbor', 'building illustration', 'sailboat']",Blog,,340.0,238.0
2022-10-30,At the observatory,70E4BA8B-6459-44BC-874D-7C866B83F903_1_105_c.jpeg,"A watercolor sketch of yellow colonial-style buildings with a domed structure, featuring architectural details like arched windows and decorative elements. The buildings are set against a light blue sky, with some greenery in the foreground. The artwork appears to be a quick urban sketch with loose, expressive linework.","['Yellow ochre', 'Light blue', 'Grey', 'Green', 'Multicolored accents (in small details)', 'White (paper showing through)']",Urban sketching/Architectural illustration with loose watercolor technique,"Colonial or historical architecture, possibly a church, government building, or other institutional structure with distinctive yellow walls and architectural features including a dome, arched windows, and decorative moldings","['Urban sketch', 'Architecture', 'Watercolor', 'Colonial building', 'Yellow building', 'Dome', 'Historical architecture', 'Quick sketch', 'Urban art', 'Building illustration', 'Architectural drawing', 'Plein air', 'Street scene']",Blog,,340.0,255.0
2022-10-30,At the gardens,53973A7F-F147-46CB-ADEC-4D01A774C743_1_105_c.jpeg,"A watercolor sketch of a yellow Victorian-style house with three arched windows and multiple chimneys, accompanied by a smaller pink-roofed outbuilding. The scene includes lush green foliage in the background and grass in the foreground, set against a blue sky with soft clouds.","['Yellow ochre', 'Sky blue', 'Forest green', 'Sage green', 'Pink', 'Grey', 'White']","Urban sketching/architectural watercolor illustration with loose, gestural line work and informal watercolor washes","A charming country or suburban house scene featuring Victorian architecture with characteristic details like multiple chimneys and decorative windows, surrounded by natural landscaping","['Victorian house', 'Watercolor', 'Architecture', 'Urban sketch', 'Landscape', 'House portrait', 'Garden scene', 'Historical building', 'Cottage', 'Plein air', 'Architectural illustration', 'Building sketch']",Blog,,340.0,255.0
2022-10-15,A Gloomy Fountain,9f99c14dbf.jpg,"A watercolor sketch of a classical fountain or water feature positioned between two arched doorways or windows. The architecture appears to have brick or stone detailing around the arches, and there's a small 'IGA' sign visible. The fountain is rendered in a loose, gestural style with multiple tiers and decorative elements.","['Pale blue (sky)', 'Brown (arches)', 'Green-grey (fountain)', 'Red (sign detail)', 'Grey (shadows)', 'White (paper/highlights)']","['Urban sketching', 'Architectural illustration', 'Loose watercolor', 'Quick sketch', 'Plein air style']","An architectural vignette featuring a classical tiered fountain centered between two arched entrances, possibly part of a historic building or shopping arcade","['fountain', 'architecture', 'arches', 'watercolor', 'urban sketch', 'IGA', 'building facade', 'architectural detail', 'streetscape', 'heritage building', 'quick sketch', 'urban art']",Blog,,340.0,255.0
2022-10-11,Landscapes Are Tough,87c3ebf03a.jpg,"A delicate watercolor landscape painting depicting a rural scene with wooden fence posts and wire fencing in the foreground, backed by green foliage and trees, with misty blue-green mountains in the background under a soft cloudy sky.","['Sage green', 'Blue-grey', 'Pale grey', 'Soft brown', 'Muted turquoise', 'White']","Loose impressionistic watercolor sketch with a naturalistic approach, featuring quick, spontaneous brushstrokes and light washes",A pastoral countryside scene featuring a wire fence line with wooden posts against a backdrop of trees and mountains,"['watercolor', 'landscape', 'rural', 'mountains', 'fence posts', 'countryside', 'pastoral', 'nature', 'trees', 'sketch', 'plein air', 'atmospheric', 'peaceful']",Blog,,340.0,255.0
